domain,raw_value,group_code,group_label
weapon,"Asphyxiation - includes death by gas",5,"NEC"
weapon,"Blunt object - hammer, club, etc",3,"Blunt object"
weapon,"Drowning",5,"NEC"
weapon,"Explosives",5,"NEC"
weapon,"Fire",5,"NEC"
weapon,"Firearm, type not stated",1,"Gun"
weapon,"Handgun - pistol, revolver, etc",1,"Gun"
weapon,"Knife or cutting instrument",2,"Knife"
weapon,"Narcotics or drugs, sleeping pills",5,"NEC"
weapon,"Other gun",1,"Gun"
weapon,"Other or type unknown",5,"NEC"
weapon,"Personal weapons, includes beating",4,"Beating/strangulation"
weapon,"Poison - does not include gas",5,"NEC"
weapon,"Pushed or thrown out window",5,"NEC"
weapon,"Rifle",1,"Gun"
weapon,"Shotgun",1,"Gun"
weapon,"Strangulation - hanging",4,"Beating/strangulation"
relationship,"Acquaintance",1,"Aquiantance"
relationship,"Boyfriend",2,"Boyfriend/Girlfriend"
relationship,"Brother",3,"Brother/Sister"
relationship,"Common-law husband",4,"Husband/Wife"
relationship,"Common-law wife",4,"Husband/Wife"
relationship,"Daughter",5,"Daughter/Son"
relationship,"Employee",6,"Employee"
relationship,"Ex-wife",7,"Ex-Wife"
relationship,"Father",8,"Father/Mother"
relationship,"Friend",9,"Friend"
relationship,"Girlfriend",2,"Boyfriend/Girlfriend"
relationship,"Homosexual relationship",10,"Homosexual relationship"
relationship,"Husband",4,"Husband/Wife"
relationship,"In-law",14,"Other - Known (family)"
relationship,"Mother",8,"Father/Mother"
relationship,"Neighbor",12,"Neighbor"
relationship,"Other - known to victim",13,"Other - Known (not family)"
relationship,"Other family",14,"Other - Known (family)"
relationship,"Relationship not determined",15,"Unknown relationship"
relationship,"Sister",3,"Brother/Sister"
relationship,"Son",5,"Daughter/Son"
relationship,"Stepfather",16,"Step family"
relationship,"Stepmother",16,"Step family"
relationship,"Stepson",16,"Step family"
relationship,"Stranger",17,"Stranger"
relationship,"Wife",4,"Husband/Wife"
circumstance,"All other manslaughter by negligence",1,"Manslaughter by negligence (NEC)"
circumstance,"All suspected felony type",2,"Suspected Felony Type"
circumstance,"Argument over money or property",3,"Argument"
circumstance,"Arson",4,"Arson"
circumstance,"Brawl due to influence of alcohol",5,"Brawl due to alcohol/narcotics"
circumstance,"Brawl due to influence of narcotics",5,"Brawl due to alcohol/narcotics"
circumstance,"Burglary",6,"Burglary"
circumstance,"Child killed by babysitter",7,"Other"
circumstance,"Children playing with gun",7,"Other"
circumstance,"Circumstances undetermined",8,"Undetermined"
circumstance,"Felon killed by police",16,"Felon killed by policy"
circumstance,"Felon killed by private citizen",9,"Felon killed by private citizen"
circumstance,"Gambling",10,"Gambling"
circumstance,"Gangland killings",2,"Suspected Felony Type"
circumstance,"Institutional killings",17,"Institutional killing"
circumstance,"Juvenile gang killings",2,"Suspected Felony Type"
circumstance,"Larceny",7,"Other"
circumstance,"Lovers triangle",12,"Lovers triangle"
circumstance,"Motor vehicle theft",7,"Other"
circumstance,"Narcotic drug laws",13,"Narcotic drug laws"
circumstance,"Other",7,"Other"
circumstance,"Other - not specified",7,"Other"
circumstance,"Other arguments",3,"Argument"
circumstance,"Other negligent handling of gun",1,"Manslaughter by negligence (NEC)"
circumstance,"Other sex offense",14,"Rape/other sex offense"
circumstance,"Prostitution and commercialized vice",7,"Other"
circumstance,"Rape",14,"Rape/other sex offense"
circumstance,"Robbery",15,"Robbery"
circumstance,"Victim shot in hunting accident",1,"Manslaughter by negligence (NEC)"
